consulta,clase
"hola, mi nombre es natalia dominguez, legajo 125413. me recibi de profesora de educacion fisica en diciembre del 2014. me entregaron el titulo en junio del 2015 pero nunca me dieron el analitico con las materias aprobadas y las notas. como lo consigo? desde ya muchas gracias, aguardo respuesta. ",Pedido de Certificados
no puedo reestablecer mi contraseña no me llega el email ,Problemas con la Clave
"hola, queria saber acerca del boleto estudiantil, por que no me puedo registrar, aparere como que el boleto estudiantil esta fuera de servicion hasta nuevo aviso. ",Boleto Universitario
hola quiero inscribirme pero no me llegan los correos gracias ,Ingreso a la Universidad
"estinados: les comento que ya eh generado la inscripcion a la carrera y no me a llegado el mail de confirmacion, esto es normal? o cuanto debo esperar? ",Ingreso a la Universidad
no me llega el msm de gmail ,Ingreso a la Universidad
"por razones laborales y personales no pude inscribirme en tiempo en la carrera. necesitaria no perder la solicitud de reinscripción, ya que a su vez perdí la regularidad. muchas gracias, estoy a su disposición.                       jésica cudugnello ",Reincorporación
hola no me llega el mail para inscribirme en las materias. ya intente varias veces pero ahora me dice que ya realize muchos intentos. ,Ingreso a la Universidad
"hola, quería saber cuál es el motivo por el que no puedo recibir la carga del boleto estudiantil, estoy desde el año pasado y entro a mi perfil, justo en boleto estudiantil provincial queriendo tratar de actualizar mis datos pero me dice que no se puede realizar la operación ya que tengo el beneficio asignado, pero voy a las terminales a cargar la sube y no recibo la carga correspondiente, necesito que me den una solución por favor.  ",Boleto Universitario
hola quería saber pq no me llegó el medio de la inscripción online ,Ingreso a la Universidad
"buenos d&igrave;as, necesito certificado anal&igrave;tico de  materias aprobadas con porcentaje.  ",Pedido de Certificados
"buenas tardes, me quiero hacer el boleto estudiantil, pero a la hora de iniciar el tramite me dice que alumno ya tiene el beneficio. queria averguar, si esto es cierto, ya que nunca me mandaron nigun comprobante de que el tramite esta hecho. muchas gracias. ",Boleto Universitario
"hola buenas tardes.  yo soy ex alumna de la universidad de lujan, yo el año 2016 estaba haciendo la carrera para contador publico. por unos problemas no continue. quisiera inscribirme para el 2018 pero haciendo la carrera licenciatura de trabajo social. sera posible ?? y por favor los requisitos para poder anotarme nuevamente en la sede de san miguel . gracias ",Cambio de Carrera
holaa.. yo el año pasado ya tenia habilitado el boleto estudiantil y lo usaba! este añoo hasta el momento no lo  tengo.. nose si tengo que cargar algo mass.. o todavia no me habilitaron para estr año.. desde ya muchas gracias ,Boleto Universitario
"hola disculpe la molestia ! el dia 30/10 fui a dejar los papeles para cambiarme a la carrera licenciatura en enfermeria , este lunes me llego un mail para la confirmacion y lo acepte , pero todavia no se cambio en el perfil de estudiante. lo hice todo junto a una amiga los mismos dias y a ella ya se lo cambiaron. queria saber si hubo alguna dificultad. saludos! ",Cambio de Carrera
es la segunda vez que restablezco la contraseña y no recibo ningún correo. estoy necesitando con urgencia ingresar a la pagina. como puedo hacer para verificar que mi correo este bien registrado? muchas gracias. ,Problemas con la Clave
 queria solicitar el porcentaje de materias aprobadas para ingreso a la docencia ,Pedido de Certificados
"cambie mi tarjeta sube, al perder la anterior! quisiera saber si hay que modificar los datos de la misma para acceder al beneficio.. ya que no lo tengo al momento. ",Boleto Universitario
porque no puedo inscribirme para empezar a cursar ?  ,Cursadas
"hola. consulto por que no puedo in-gresar a mi cuenta de aspirante. ya pasaron los 15 dias que me infor-maron de espera, pero aun asi me da &quot;dato inexistente&quot; y quisiera saber por que o mejor alguna solucion. aguardo respuesta, desde ya mu-chas gracias! ",Ingreso a la Universidad
"buenos dias,   queria consultar por mi boleto estudiantil todabia no me lo dieron y yo estoy inscripto desde el 2018.  habra pasado algo o falta alguna documentacion aqui les dejo mi dni:40652014. nombre: pablo gomez.  espero su respuesta.  muchas gracias. ",Boleto Universitario
"hola! me preguntaba por que no podia entrar a mi perfil, me aparece como estudiante inhabilitado cuando pido para cambiar mi clave. necesito ver si me cargaron bien las notas, es urgente!! ",Requisitos de Ingreso
"hola hace dos años tuve que abandonar la carrera, por trabajo y quisiera retomarla que tramite puedo hacer. muchas gracias saludos  ",Reincorporación
"necesito ayuda urgente. donde dice actividades académicas,  en la fotocopia para el cambio de carrera, pongo el nombre de las materias? por favor necesito respuesta  ",Cambio de Carrera
"buenos dias, mi consulta es que estoy inscripta para aspirante, desde el 25 de octubre y aun no hay datos en el acceso al perfil, por la web. ya lleve toda la documentacion pero no aparezco. hay algun problema? ",Ingreso a la Universidad
buenas noches hoy estuve en la unlu sede san miguel y alumnas que cursan  me dijeron que me podia inscribir en el taller abierto codigo 30610 el cual no pude hacerlo por la pagina le pido ser inscripta en la misma los lunes para cursarla desde ya muchas gracias  ,Cursadas
"necesito que por favor me blanqueen la clave, porque la he olvidado.  gracias  ",Problemas con la Clave
"buen dia, necesitaba saber como darle de baja al tramite de boleto estudiantil que estaba en proceso porque perdi la sube con la que estaba echo el tramite, la di de baja y lo quiero hacer nuevamente ",Boleto Universitario
buenas tardes! lleve mis papele el jueves 22 hasta la universidad y aun no logro ingresar a mi perfil. ,Ingreso a la Universidad
hola! queria anotarme para rendir el final de teoria de las organizaciones. pero no me aparece dentro de la solicitud de inscripcion a examen final.  ,Exámenes
"buenas tardes ! estuve intentando inscribirme a las cursadas y no pude, el día de hoy me acerque a la facu para poder consultar que sucedía y me explicaron que había quedado libre, solicite la reincorporación pero tarda 24hs y el limite de anotarse en las materias es hasta hoy . como puedo hacer ? gracias  ",Cursadas
"hola, quiero consultar sobre el beneficio que tengo asignado. porque solicité el boleto estudiantil el cual todavía no me ha llegado, se ha cargadola en el panel correspondiente de este. así que quería saber &iquest;podrían informarme respecto a dicho beneficio que ya tengo? el cual desconozco. ",Boleto Universitario
"hola buenas tardes, mi consulta es debido a que solicite el boleto estudiantil, pero no me llego ninguno mail y al pasar la tarteja por la maquina  para que me lo acrediten, me dice que no puede realizarse la operacion. soy ingresante de este año, y otros compañeros pudieron realizarlo sin problema. muchas gracias ",Boleto Universitario
"hola buenos días, mi consulta es por qué no me llega el mensaje de inscripción ? ya probe alredoder de 5 veces cargando mis datos una y ptra vez pero nunca me llega el mail. gracias. ",Ingreso a la Universidad
"llene el formulario para obtener el boleto estudiantil provincial, al finalizar me figuró como trámite procesado pero no me llegó ningún mail y luego la página me apareció como link inexistente, y cuando me volví a fijar en la pagina del boleto estudiantil me figura que &quot;la persona ya tiene un beneficio asignado&quot;. quiero saber si mi solicitud fue lograda o no. muchas gracias por su atención. aguardo la respuesta.   ",Boleto Universitario
"buenas tardes, cuando entro en la opción de tramitar el boleto gratuito provincial me aparece error de credenciales, quería saber por que me aparece este error y no puedo hacer el trámite. muchas gracias! ",Boleto Universitario
"buenas tardes , quiero acceder al beneficio del boleto estudiantil y me figura que ya tengo un beneficio, actualmente estoy desempleada y no tengo ningún tipo de beneficio ni cobro ningún plan. ya hice un reclamo hace 2 días y me dijeron que vuelva a intentar al día siguiente, y nada cambio  ",Boleto Universitario
"buenas tardes, quiero inscribirme a las materias de la licenciatura de historia, tengo número de legajo pero no me deja acceder puesto que no pude cursar ninguna materia por lo que quede como &quot;estudiante libre&quot;, quisiera saber si me podría inscribir a las materias porque esta vez podría cursar las mismas, saludos. ",Reincorporación
como solicito listado de materias con promedio para consejo escolar de mi distrito? gracias ,Pedido de Certificados
"buenas tardes, hace 2 meses que no me cargan el boleto, necesito una solución rápida a mi problema muchas gracias ",Boleto Universitario
"buenas tardes,para hacerle una consulta.. como hago con las solicitudes de inscripción para aspirantes rechazadas.. intento de nuevo o tengo q elegir otros horarios?! desde ya gracias ",Cursadas
buen dia. necesito regularizarme y saber si voy a poder anotarme en alguna cursada debo generar una nueva clave y contraseña? muchas gracias ,Cursadas
"buenas, comence lo que seria la inscripcion  via web hoy pero todavia no me llega el email para continuar con la inscripcion ",Ingreso a la Universidad
"buenas tardes mi consulta es sobre una materia (costos) en la que estaba regular pero no aprobe los finales y quede libre.  tengo 2 materias correlativas a costos que curse y quede regular, mi pregunta es si me anoto de nuevo a cursar costos pierdo la regularidad de las otras 2 materias??? en ese caso existe una extension de condicion de regular para poder presentarme a los adicionales para rendir costos en esa condicion??? gracias ",Cursadas
"buenas no eh resibido mi carga del mes de septiembre, quería saber si paso algo. gracias ",Boleto Universitario
"hola buenas tardes,me comunico con el fin de que no me llega el meil de inscripción,porfavor comunicarse a la brevedad. gracias. ",Ingreso a la Universidad
"motivo regularización de estudiante,  ya que no puedo inscribirme a alguna materia hace varias semanas ",Reincorporación
olvide mi clave ,Problemas con la Clave
"buenas! quise anotarme a materias pero no pude acceder a mi cuenta, me figura libre. cómo regularizo mi situación? puedo hacerlo online o debo ir a mi centro regional? desde ya muchas gracias! ",Reincorporación
"quiero entrar a mi perfil, para anotarme en un final y me salta que no cumplo los requisitos para ingresar al sistema, por que puede ser? me parece raro porque tengo todo al dia ",Requisitos de Ingreso
hola me interesa la carrera de linc. en enfermeria ,Ingreso a la Universidad
hola. quisiera obtener el certificado de materias aprobadas de la carrera trabajo social con porcentaje para inscribirme en el listado 108 b complementario en sad. desde ya muchas gracias ,Pedido de Certificados
no me llega el mail correspondiente para seguir con los pasos de la inscripción ,Ingreso a la Universidad
"buen día, perdí mi número de legajo para la carrera de prof en cs biológicas. quisiera saber si me lo pueden comunicar. gracias francisco ",Consulta por Legajo
hola mi consulta es por el motivo de que quiero generar el boleto estudiantil y me figura que este usuario ya posee un beneficio.saludos ,Boleto Universitario
"hola buenas tardes, quería saber como es lo del boleto estudiantil. yo ya llene el formulario hace dos semanas pero no sabría como serían los pasos a seguir. muchas gracias ",Boleto Universitario
"hola buenas tardes.. hace un rato me contestaron. me dijeron q debo presentar constancia de vacunacion . yo ya lo presente a lo de las vacunas mas la constancia que mi titulo esta en tramite, presente los papeles el martes pasado seria de esta semana.. presente lo q me habian pedido.. o tarda el sistema para que yo pueda ingresarlo..?? en la pagina unlu ",Requisitos de Ingreso
quiero anotarme en las materias y no me lo permite ,Cursadas
"no me acuerdo mi numero de legajo y quisiera volver a anotarme asi puedo cambiar de carrera, desde ya muchas gracias ",Cambio de Carrera
"me dirijo a usted para realizar la siguiente consulta.  en la materia antropologia social figuro como regular pero no figura mi nota de final, siendo que este fue realizado a mediados del año pasado con una calificacion de seis en la universidad de san miguel.  agradeceria respuesta por medio del mail.  desde ya muchas gracias.  ",Situación Académica
olvide mi clave y cuando quiero reestablecerla no llega a mi casilla ningún mail  ,Problemas con la Clave
"hola. quiero saber porque no puedo ingresar a mi perfil de estudiante,  me dice que no poseo los requisitos nesesarios   ",Requisitos de Ingreso
no me llega el email de inscripcion correspondiente ,Ingreso a la Universidad
hola necesitaria saber como puedo hacer para cambiarme de comisión de dos asignaturas que estoy cursando por favor. gracias ,Cambio de Comisión
estoy tratando de realizar la prescripción on-line y luego de llenar con los datos no me llega ningún mail para continuar con la operación.  ,Ingreso a la Universidad
"hola tengo un problema para la inscripción a las materias del primer cuatrimestre,el mail para seguir con los pasos nunca me llega, quisiera saber como puedo solucionar esto, el mail es el mismo que use para la prescripción, desde ya gracias. saludos  ",Ingreso a la Universidad
"hola, buenos días, no pude ingresar como aspirante. ",Ingreso a la Universidad
no puedo acceder a la informacion academica. no puedo ingresar mi clave ( erronea ) . como puedo hacerlo???? gracias ,Problemas con la Clave
necesito mi vlave ,Problemas con la Clave
"quiero ingresar a mi perfil y me aparece una leyenda diciendo que no estoy regular en la carrera y que tramite vía web la reincorporación, solo no me anoté en el primer cuatrimestre porque no era necesario y quiero cursar el segundo cuatrimestre  ",Reincorporación
"en septiembre aprobé el final en condición de alumno libre de elementos de matemática, el acta aún no ha sido cargada y en mi situación académica no aparece la calificación (4 cuatro) ",Situación Académica
buen día! me inscribí el día 1 de noviembre para el profesorado y habían notado en el departamento de admisión un inconveniente con el número de cue que había en mi certificado analítico y debería haber ser verificado. me iban a informar si había alguna novedad. también quería saber si puedo ingresar al perfil de aspirante porque pongo mi dni no me permite entrar. muchas gracias!   ,Ingreso a la Universidad
"hace aproximadamente 1 mes completé este formulario para poder obtener el boleto estudiantil. al finalizarlo, debía recibir un mensaje al correo electrónico a modo de confirmación, el cual nunca llegó. por ende, me comunico con ustedes ya que necesito este boleto. ",Boleto Universitario
"buenos dias, necesito saber como debo inscribirme en las asignaturas del 1er cuatrimestre, ya que en la pagina solo me permite consultas.  muchas gracias ",Cursadas
"buenas tardes, estoy interesada en saber con cuánto se aprueban los exámenes finales, y en particular con cuánto se aprueba el examen final de análisis socioeconómico. muchas gracias  ",Exámenes
hola buenas tardes quisiera saber si verificaron las constancias de las vacunas? y si esta correcto porque ayer me dijeron que probara inscribirme hoy despues de las 11 y todavia no puedo... muchas gracias y disculpen las molestias ,Requisitos de Ingreso
no puedo entrar a mi usuario para consular las fechas de exámenes. me dice que mi documento es incorrecto  ,Requisitos de Ingreso
me interesa la carrera de contador publico en la sede campana que necesito y que debo presentar para anotarme  ,Ingreso a la Universidad
"mi consulta es por la inscripcion a la carrera de lic. en informacion ambiental. yo soy de mendoza y tengo rendido hasta 3 año de la lic. en psicologia;  estare llegando a campana en diez dias. quiero empezar este cuatrimestre, se que las incripciones son hasta el 23/2 , y ya comence el tramite de la pre inscripcion on line. &iquest; que posibilidades tengo de comenzar este ciclo? saluda atte ",Ingreso a la Universidad
"hola, hace poco me reincribi en la carrera. habia quedado libre. ahora reincripto en plan 1711. tengo una materia en condición de regular desde el 2016 que es taller libre 1, quería saber si perdí la regularidad al haber quedado libre en la carrera. como figuro en el sistema? ",Situación Académica
"buenos días, quería hacer una consulta sobre la entrega del analítico. egresé en el año 2017 y quisiera saber si hace falta ir a legalizar el título, o si con la copia de este ya es suficiente (ya que algunos me comentan que el título ya viene legalizado).  muchas gracias ",Requisitos de Ingreso
hola! ya complete el formulario de inscripcion 2 veces y no me llega ningun mail! no se que hacer ! ,Ingreso a la Universidad
"buenos días, el motivo de mi consulta es saber si es posible un cambio de turno,me incribi en turno mañana, pero por problemas personales, necesitaría poder asistir en turno noche, lamentablemente mi madre tiene una enfermedad terminal,y se me complicaria asistir en el turno que elegí en principio, espero poder estar a tiempo de cambiarme, les agradezco de antemano la respuesta. atte vanina salvucci ",Cambio de Comisión
"buenas el otro día fui a la universidad para saber que materias aprobé, trate de ingresar por la web pero no me permite, mi numero de legajo 70325, mi dni 26339050 como tendría que proceder de ahora en mas? desde ya muchas gracias. ",Reincorporación
"hola!! quería consultar sobre la inscripción de licenciatura en administración, ya que el viernes pasado 9 de febrero, quise completarlo vía online y no me llego ningún mail como para seguir los pasos, como tendría que hacer?  gracias ",Ingreso a la Universidad
quiero anotarme pero no me llega el mail y por lo tanto no puedo seguir con el tramite de ingreso ,Ingreso a la Universidad
"hola mi nombre es alejandro daniel pedraza.  hace poco recibí un mail para poder ingresar al sistema de estudiantes, pero resulta que no se mi legajo y no me lo acuerdo.  de ser posible, necesitaría que me envíen mi numero de legajo por mail.  gracias desde ya. saludos. ",Consulta por Legajo
"buen día,  quiero saber que procede después de enviar el formulario por mi perfil de estudiante con respecto al boleto estudiantil municipal. gracias. ",Boleto Universitario
"buen día, tengo problemas para acceder a mi perfil; cuando pongo todos los datos, me dice que el estudiante no cumple con los requisitos, y dado esto, no me puedo anotar en las materias. gracias ",Requisitos de Ingreso
"buenas noches, tengo problemas al iniciar sesión no recuerdo la contraseña y ademas me pide restablecer una nueva. ",Problemas con la Clave
hola te escribo porque estaria necesitando el analitico con el puntaje de mi titulo. yo me recibi en el 2015 no recuerdo mi legajo. gracias ,Pedido de Certificados
hola queria saber como es para pedir el certificado del porcentaje de materias aprobadas. porque en la parte  de certificados lo unico que aparece es el certificado de estudiante regular. ,Pedido de Certificados
"hola, me acaban de entregar el titulo de la carrera contador publico, como hago para obtener el analitico? saludos ",Pedido de Certificados
"buenas tarde, quisiera comentarles que en varias oportunidades he intentado realizar el tramite del boleto estudiantil, y me marca como error de credenciales,me gustaria saber si esto se debe a algo en particular. desde ya gracias.  ",Boleto Universitario
"hola buenas tardes, quería consultar por la acreditación del boleto estudiantil, todavía seguimos esperando la carga, donde tengo que hablar para solucionar el tema?  ",Boleto Universitario
ya ingrese a la pagina y realice la inscripción pero no recibí el mail de como continuo la inscripción.  ,Ingreso a la Universidad
"hola. quisiera consultar sobre el estado de mi tarjeta sube. cuando consulto en la pagina aparece el mensaje de que ya obtuve el beneficio, pero no recuerdo con que tarjeta lo obtuve, ya que hice el traite hace un año. podrian verificar por favor si ya poseo el beneficio?, como puedo hacer para acceder a esa informacion?. muchisimas gracias.  ",Boleto Universitario
"buenas tardes!  realice el trámite para el boleto estudiantil provincial. y todavía no pude obtener el beneficio. desde la página de la universidad me figura que ya está el beneficio. pero en las terminales donde debo pasar la sube para obtener el beneficio me figura que no tengo tal beneficio. si me podrían decir a que se debe esto, desde ya muchas gracias. ",Boleto Universitario
"me estoy inscribiendo via web, pero en la instancion que dice que me tiene que mandar el mail, no me llega nada ",Ingreso a la Universidad
"buenas tardes, aun no cargaron la nota del final de contabilidad 1 con bianchi! y me parece raro porque ya paso más de una semana!  muchas gracias!  ",Situación Académica
"consulta sobre el boleto estudiantil provincial, quiero llenar el formulario pero me sale que ya tengo asignado un beneficio. no entiendo. otra consulta, no me salen los horarios para el 2do cuatrimestre.  gracias. ",Boleto Universitario
"hola buenos dias, estoy en condicion de libre en la universidad porque ya hace un par de años que no curso. me contacto con ustedes porque necesito el porcentaje de materias aprobadas de la carrera que estaba haciendo (profesorado en educación fisica) quedo a la espera de la información muchas gracias.... rocio  ",Pedido de Certificados
quería preguntar por qué no me permite inscribirme a las materias para cursar  ,Requisitos de Ingreso
hola.  queria averiguar sobre la acreditacion del boleto estudiantil en mi sube ya que aun no se me acredito . no se si hice bien todos los tramites o me falto algo para terminarlo. muchas gracias!! ,Boleto Universitario
"buenos días.hice el trámite de sube universitario,y en la página. aparece q tengo un beneficio asignado pero en la sube no me sale nada lleve a un tótem y me dice q no poseo beneficio la consulta sería si tengo el beneficio o no?o como realizó el trámite?muchas gracias. ",Boleto Universitario
"hola que tal, tengo muchas dudas. quiero saber mi numero de legajo y mi clave y no se como obtenerla.voy formulario de solicitud de restablecimiento de clave , y me dice que mi tipo y documento son incorrectos ",Ingreso a la Universidad
"hola, buenas tardes. quería hacer una consulta sobre el ingreso al perfil de aspirante mediante la vía web, ya que cuando ingreso mi número de dni aparece la leyenda que &quot;no existen datos para el aspirante ingresado&quot;. realicé la inscripción el día 19/10 en la sede de luján. agradecería que puedan informarme sobre qué debo hacer para poder ingresar al perfil del aspirante. saludos. ",Ingreso a la Universidad
donde puedo averiguar porque el gobierno no me acredita el saldo de la sube? ,Boleto Universitario
"estimados, soy alumno regular y no recuerdo mi clave para ingresar a ingresar a insc para cursar. solicité blanque de contraseña pero no recibo el mail para realizarlo.   ",Problemas con la Clave
"mi consulta es que no se me acredita el plan de la sube, hace dos años que tengo el plan pero este no se me acredito al empezar la cursada, quería saber si se me quito el plan o tengo que hacer algo para activarlo de vuelta. ",Boleto Universitario
"hola quisiera saber que tengo que hacer si al intentar restablecer mi contraseña para acceder a la plataforma, no me llega el mail para seguir con el procedimiento muchas gracias ",Problemas con la Clave
hola quería saber si recibieron la solicitud de inscripción.ya que es la 2da vez que la completo y no recibo el mail para continuar la inscripción. gracias .saludos ,Ingreso a la Universidad
no puedo preinscribirme por la pagina web. no me llegan los mails de confirmación. que puedo hacer al respecto? ,Ingreso a la Universidad
"hola, buen dia.. quería pedir que se reconfirme el acta de biomecanica 15004.. ya que aprobe en final regular el 13/12/2017 y no me aparece en la solapa de finales aprobados..  carrera prof. de ed. fisica, carrera 43 plan 02 ",Situación Académica
"si presento el analitico de la universidad del salvador con las 25 materias que tengo aprobadas de la carrera abogacia podre eximirme de realizar el curso de ingreso? el lunes me voy a acercar para hacer la inscripcion tardia.  si no hago el curso este mes puedo empezar la cursada de la carrera igual y en caso de no prosperar por razones de tiempos administrativos el reconocimiento del analitico de la usal, puedo hacer el curso en julio? gracias por su respuesta! ",Ingreso a la Universidad
necesito saber porque no me deja inscribirme en las materias cuando yo no debo nada del secundario y estoy haciendo el taller de ingreso ,Requisitos de Ingreso
"buenas tardes, el día jueves perdí mí sube y realice los pasos que se deben, es decir, compré una nueva sube y la asocie a mí perfil de la página de la misma. quería saber si el boleto estudiantil se cargará en la nueva sube asociada o debo realizar algún trámite. desde ya, muchas gracias brisa andreasen ",Boleto Universitario
"buenas tardes, necesito el certificado analitico de materias rendidas con porcentaje. &iexcl;gracias!!! ",Pedido de Certificados
buenos días. el día viernes me acerque a la sede de san miguel para realizar el trámite de reincorporación y me dijieron que hoy me fijara en la pagina . pero sigo sin poder ingresar. puse mi legajo y la clave que me generaron ahí. no se si tendré que esperar unos días más? gracias  ,Reincorporación
"buenas noches! quiero acceder al porcentaje de materias aprobadas, como hago?  gracias ",Pedido de Certificados
no me deja iniciar sesión con mi numero de documento  para ver los días de los talleres  ,Ingreso a la Universidad
"el motivo de mi consulta, es porque no recuerdo el numero de legajo y no puedo entrar al sistema de alumnos para ver mi situacion. espero por favor que puedan enviarmela para poder acceder. otra consulta es si el cambio de carrera es recien para el segundo cuatrimestre, o puedo cambiarme de carrera ahora y aprovechar este cuatrimestre?. muchas gracias. ",Consulta por Legajo
"buenas tardes: necesitaría saber mi legajo, no lo recuerdo y no se donde me tengo que fijar.  desde ya muchas gracias. saludos. ",Consulta por Legajo
"buenas tardes yo en febrero curse el taller de lectura y compresión de texto codigo 21010. entro a mi perfil y no me aprarece, la aprobe con 7. queria saber como corroborar si la nota quedo asentada. muchas gracias ",Situación Académica
"buenas tardes, envió este mensaje por el motivo que complete los datos de la pre inscripción, dijeron enviarme un e-mail, pero no llega. quería pedirle por favor si me podrían ayudar a solucionarlo para  continuar los pasos, desde ya muchas gracias ",Ingreso a la Universidad
"buen día, mi consulta  es la siguiente, realice el primer paso de la inscripcion online, pero no me llego ningun correo a mi casilla para realizar el siguiente paso. cuanto debía esperar para que me llegue así puedo avanzar en mi inscripción.   desde ya gracias, saludos&iexcl; ",Ingreso a la Universidad
hola queria saber por una reincorporacion ya mande el mensaje pasaron las 24 hs y no se me abilito el usuario nueva mente ,Reincorporación
"buenas tardes.  en la fotocopia que me dieron donde aclara mis dias y horarios de cursada para el taller de febrero, dice que tengo que confirmar el numero de comision  ",Ingreso a la Universidad
"buenas tardes, hice el trámite para obtener el boleto estudiantil provincial y se me asignó el beneficio pero cuando paso la tarjeta en la terminal automática me figura que no tengo cargas pendientes. quisiera saber qué debo hacer para solucionarlo. gracias ",Boleto Universitario
"buenas tardes, mi consulta es porque quiero solicitar mi baja a la carrera ya que no voy a seguir concurriendo parea que med en de baja de todo. hay algún paso a proceder? espeeo respuestas gracias  ",Pedido de Certificados
"recientemente presente una solicitud de equivalencias, me gustaria saber cual es el estado de dicha solicitud. ",Consulta por Equivalencias
no me llego el mail con la clave que me olvide. gracias. ,Problemas con la Clave
"hola, necesito un certificado donde aparezca el porcentaje de materias aprobadas. ",Pedido de Certificados
cuando es la inscripción a las cursadas de mi carrera ?  ya que entro y me dice no esta vigente  ,Cursadas
no puedo inscribirme porque xe2x80x9cno cumplo con los requisitos necesariosxe2x80x9d ,Requisitos de Ingreso
a quien corresponda: mi consulta es acerca de la inscripción . sigo los pasos como de dice el instructivo pero cuando quiero entrar al formulario de la web me dice que la fecha para la inscripción ya finalizo.por favor espero una respuesta. gracias  ,Ingreso a la Universidad
"buenos días, al solicitar el boleto estudiantil provincial, me figura que ya poseo ese beneficio, pero jamas se me acreditó cuando consulte las terminales! mi sube es la 6061 2682 2964 0855. gracias! ",Boleto Universitario
el sistema no me deja acceder al formulario estudiantil ; solo dice error de ceetificacion ,Boleto Universitario
no puedo ingresar a mi perfil de alumno ,Requisitos de Ingreso
"cuando quiero entrar a mi nformación académica desde mi perfil de estudiantes no me deja, dice que no cumplo con los requisitos necesarios. y yo soy estudiante del año pasado y metí una materia y ahora no puedo entrar para inscribirme a las materias de este año  ",Requisitos de Ingreso
para poder reincribirme ,Reincorporación
no me deja inscribirme a la cursadas ,Cursadas
"hola, buenas tardes!! me inscribí en un final hoy a través de la página de la unlu y lo hice en condición de libre, pero yo soy regular, me confundi y no me di cuenta! ustedes podrian ayudarme? estoy preocupada y no sé a quien concurrir!! muchisimas gracias... soy de la sede de san miguel ",Exámenes
"consulta,me inscribi para hacer el boleto estudiantil y no me llego el mail,&iquest;que tendria que hacer? ",Boleto Universitario
"quiero saber mi numero de legajo, si me pueden ayudar ya le estoy agradecidos ",Consulta por Legajo
yo estoy anotada y aceptada para la carrera. he llevado la documentacion correspondiente. quisiera ver horario dle taller ,Cursadas
hola buenas noches quería saber alguna fecha estimativa de la aprobación  los cambios de comisión . muchas gracias  ,Cambio de Comisión
hola quería solicitar mi porcentaje de materias por favor gracias  ,Pedido de Certificados
"hola, queria saber en que estado esta mi tramite de solicitud de equivalencias.  muchas gracias! yamila olivera ",Consulta por Equivalencias
envío solicitud de pre inscripción y no recibo el mail de confirmación para continuar con el proceso. ,Ingreso a la Universidad
"hola, quiero anotarme en el boleto estudiantil provincial y me dice que ya poseo un beneficio, hace un tiempo tenia el descuento por plan progresar pero ya me lo dieron de baja y no lo tengo más, así y todo en la web de la unlu sigue desactualizado. ",Boleto Universitario
"estimados, para poder gestionar el certificado de materias rendidas por porcentaje, hay alguna posibilidad que se gestione via web como el de alumno regular? muchas gracias!  patricia  ",Pedido de Certificados
necesito una copia del analitico legalizado . ,Pedido de Certificados
buenos días tenía una consulta. el día de ayer por la mañana realice el boleto estudiantil universitario y quería saber cuándo tengo habilitado el dinero para poder cargar en una terminal o si ya lo debo tener ? desde ya muchas gracias  ,Boleto Universitario
no me llego el mail para seguir con la inscripcion a las asignaturas ,Ingreso a la Universidad
"hola, realice mi inscripcion a la carrera de licenciatura de enfermeria pero aun no me llega la respuesta a mi correo electronico para realizar el siguiente paso abra alguna posibilidad que verifiquen el incombeniente porfavor. desde muchas gracias. laura gonzalez ",Ingreso a la Universidad
"hola, quería saber como realizar el tramite para el boleto estudiantil devuelta, ya que tenia el beneficio pero cada vez que voy a recargar la sube me dice que no tengo recargas disponible, gracias ",Boleto Universitario
"hola hice la inscripción hasta que me dice que me van a enviar un correo electronico, pero eso no sucede.  como debo continuar?   ",Ingreso a la Universidad
quería saber como tengo que hacer para poder inscribirme a las materias que no me aparecen en la pagina.tengo que ir si o si hasta la universidad para inscribirme o como hago porque las materias que tendría que cursar ahora no me aparesen me aparesen otras. ,Cursadas
quisiera saber como hago para inscribirme en las materias del primer cuatrimestre. todavía no me llegó el mail para ver si toda la documentación que presenté está en orden. ,Ingreso a la Universidad
cómo tengo que hacer una reincorporación vía web? ,Reincorporación
porque me salta error en credenciales si en la uni jamás me entregaron credenciales sólo un legajo ,Boleto Universitario
no puedo ingresar a mi cuenta porque olvide mi clave ni al aula virtual  ,Problemas con la Clave
"olvide mi contraseña para entrar y necesito hacerlo para corroborar fecha de defensa de trabajo final, según me dijeron cuando me llamaron. llene el formulario pero por mail no me llego nada para reactivar la cuenta y cambiar la contraseña ",Problemas con la Clave
buenas tardes. no puedo acceder a la plataforma con mi legajo y contraseña. también intente reestablecer contraseña y no es posible ,Problemas con la Clave
no puedo entrar a ver los días y horarios de las materias. ingreso mi documento y dice que no estoy registrado. lleve mis papeles a la universidad y lo unico que me falta es la constancia de titulo en tramite ,Ingreso a la Universidad
hola.. intente ingresar a mi situación académica y no pude. dice que ya no tengo acceso al sistema.. yo ya me recibi.. pero quiero un certicado de título en trámite.. y saber cuándo me van a dar el título.. me dijeron que era en junio.. me podrían decir cuando puedo tener esos certificados y cuando me dan el título.. y como hago para ingresar a mi situación académica.. gracias. ,Consulta sobre Título Universitario
"dice que estoy inhabilitada , como hago para volver a habilitar ?  ",Requisitos de Ingreso
no puedo ingresar como usuario alumno. creo que es por problemas con la clave que debo modificar. gracias! ,Problemas con la Clave
